,OBJECTID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,MONTH
210442,210443,FYU NE 155,1992,1992-07-24,206,1554.0,1,Lightning,2448853.5,232.0,1333.0,7.0,B,68.5998,-141.0527,4,FWS,AK,,,,7
210443,210444,FAI S 5,1992,1992-07-25,207,1428.0,1,Lightning,2448828.5,207.0,1800.0,0.2,A,64.7162,-148.0357,6,OTHER FEDERAL,AK,,,,7
210444,210445,CEM W 95,1992,1992-07-25,207,1510.0,1,Lightning,2448882.5,261.0,850.0,20.0,C,65.8496,-148.5692,4,FWS,AK,,,,7
210446,210447,204439,1992,1992-07-30,212,1634.0,1,Lightning,2448837.5,216.0,1800.0,250.0,D,61.8159,-162.7024,4,FWS,AK,,,,7
210448,210449,KAL SE 55,1992,1992-07-31,213,2117.0,1,Lightning,2448851.5,230.0,1519.0,0.5,B,63.4993,-157.7691,4,FWS,AK,,,,7
210449,210450,232443,1992,1992-08-01,214,2047.0,1,Lightning,2448836.5,215.0,1100.0,5.0,B,62.2826,-163.4691,4,FWS,AK,,,,8
210450,210451,FYU E 58,1992,1992-08-02,215,1351.0,1,Lightning,2448853.5,232.0,1637.0,215.0,D,66.5997,-142.7859,4,FWS,AK,,,,8
210451,210452,FYU E 69,1992,1992-08-02,215,1635.0,1,Lightning,2448837.5,216.0,1847.0,1.5,B,66.533,-142.2526,4,FWS,AK,,,,8
210452,210453,FYU E 75,1992,1992-08-02,215,1643.0,1,Lightning,2448882.5,261.0,1035.0,2870.0,F,66.483,-142.2859,4,FWS,AK,,,,8
210453,210454,KAL SE 60,1992,1992-08-02,215,2114.0,1,Lightning,2448851.5,230.0,1519.0,20.0,C,63.4327,-158.0191,4,FWS,AK,,,,8
210454,210455,VEE N 5,1992,1992-08-03,216,1216.0,1,Lightning,2448839.5,218.0,930.0,0.3,B,67.1163,-146.2693,6,OTHER FEDERAL,AK,,,,8
210457,210458,203474,1992,1992-08-12,225,1800.0,1,Lightning,2448882.5,261.0,1200.0,0.1,A,60.0328,-150.6522,4,FWS,AK,,,,8
210493,210494,332205,1993,1993-06-01,152,1315.0,1,Lightning,2449140.5,153.0,400.0,600.0,E,62.0159,-161.8524,4,FWS,AK,,,,6
210494,210495,332206,1993,1993-06-01,152,1503.0,1,Lightning,2449142.5,155.0,2000.0,15.0,C,64.7327,-158.6692,1,BLM,AK,,,,6
210495,210496,304207,1993,1993-06-01,152,1517.0,1,Lightning,2449140.5,153.0,2300.0,160.0,D,62.416,-157.7691,1,BLM,AK,,,,6
210496,210497,KKA NE 7,1993,1993-06-01,152,1756.0,1,Lightning,2449140.5,153.0,2200.0,400.0,E,64.9327,-160.9526,1,BLM,AK,,,,6
210497,210498,304212,1993,1993-06-01,152,1950.0,1,Lightning,2449139.5,152.0,2100.0,0.1,A,62.0659,-163.3524,6,OTHER FEDERAL,AK,,,,6
210499,210500,DCK SSW,1993,1993-06-01,152,2058.0,1,Lightning,2449152.5,165.0,1620.0,4.0,B,66.4494,-157.2194,1,BLM,AK,,,,6
210500,210501,BET NW 105,1993,1993-06-02,153,1600.0,1,Lightning,2449141.5,154.0,1000.0,280.0,D,62.2992,-163.5691,4,FWS,AK,,,,6
210501,210502,304222,1993,1993-06-02,153,1613.0,1,Lightning,2449148.5,161.0,2200.0,23501.0,G,61.3159,-159.4857,4,FWS,AK,,,,6
210502,210503,332229,1993,1993-06-02,153,1620.0,1,Lightning,2449154.5,167.0,1700.0,11250.0,G,62.816,-157.8024,4,FWS,AK,,,,6
210503,210504,SMK SW 55,1993,1993-06-02,153,1633.0,1,Lightning,2449140.5,153.0,2200.0,1.5,B,62.7492,-163.3358,4,FWS,AK,,,,6
210504,210505,304227,1993,1993-06-02,153,1739.0,1,Lightning,2449150.5,163.0,1300.0,130.0,D,62.2326,-158.8024,1,BLM,AK,,,,6
210505,210506,GAL SSW,1993,1993-06-02,153,1930.0,1,Lightning,2449147.5,160.0,1726.0,0.1,A,63.1993,-158.3691,4,FWS,AK,,,,6
210506,210507,331232,1993,1993-06-02,153,1950.0,1,Lightning,2449141.5,154.0,2200.0,25.0,C,64.0993,-158.2191,7,STATE,AK,,,,6
210507,210508,EAA S 30,1993,1993-06-03,154,1621.0,1,Lightning,2449142.5,155.0,200.0,4.0,B,64.3163,-141.6523,1,BLM,AK,,,,6
210508,210509,KAL ESE 5,1993,1993-06-03,154,1811.0,1,Lightning,2449142.5,155.0,1800.0,2.0,B,64.2827,-158.5525,1,BLM,AK,,,,6
210509,210510,MHM SE 36,1993,1993-06-03,154,1815.0,1,Lightning,2449233.5,246.0,1200.0,10.0,C,63.6828,-151.0856,3,NPS,AK,,,,6
210510,210511,KAL E 5,1993,1993-06-03,154,1845.0,1,Lightning,2449141.5,154.0,2200.0,0.1,A,64.316,-158.5691,1,BLM,AK,,,,6
210511,210512,331242,1993,1993-06-03,154,1953.0,1,Lightning,2449142.5,155.0,1430.0,8.0,B,65.3328,-150.8025,7,STATE,AK,,,,6
210512,210513,332244,1993,1993-06-04,155,1320.0,1,Lightning,2449143.5,156.0,1.0,0.8,B,64.4328,-150.4357,1,BLM,AK,,,,6
210513,210514,331246,1993,1993-06-04,155,1605.0,1,Lightning,2449142.5,155.0,1930.0,0.5,B,64.4327,-155.2358,7,STATE,AK,,,,6
210514,210515,UNK SE 4,1993,1993-06-04,155,1730.0,1,Lightning,2449142.5,155.0,2200.0,25.0,C,63.816,-160.6691,1,BLM,AK,,,,6
210515,210516,332249,1993,1993-06-04,155,1740.0,1,Lightning,2449143.5,156.0,300.0,35.0,C,64.7327,-154.8858,4,FWS,AK,,,,6
210516,210517,332248,1993,1993-06-04,155,1748.0,1,Lightning,2449233.5,246.0,1150.0,36250.0,G,65.7995,-149.7192,7,STATE,AK,,,,6
210517,210518,UNK SE 6,1993,1993-06-04,155,1805.0,1,Lightning,2449143.5,156.0,300.0,4.0,B,63.816,-160.6191,1,BLM,AK,,,,6
210518,210519,302253,1993,1993-06-04,155,1830.0,1,Lightning,2449145.5,158.0,1730.0,25.0,C,62.6329,-143.7355,3,NPS,AK,,,,6
210519,210520,331251,1993,1993-06-04,155,1854.0,1,Lightning,2449143.5,156.0,2000.0,2.8,B,64.1994,-155.6357,7,STATE,AK,,,,6
210520,210521,TAL SW 83,1993,1993-06-04,155,1930.0,1,Lightning,2449154.5,167.0,1419.0,5180.0,G,63.9828,-153.669,1,BLM,AK,,,,6
210521,210522,313258,1993,1993-06-05,156,1335.0,1,Lightning,2449153.5,166.0,1200.0,180.0,D,63.8663,-143.8523,1,BLM,AK,,,,6
210522,210523,MHM N 36,1993,1993-06-05,156,1444.0,1,Lightning,2449150.5,163.0,1456.0,170.0,D,64.3495,-152.6691,1,BLM,AK,,,,6
210523,210524,BTT SW 60,1993,1993-06-05,156,1500.0,1,Lightning,2449149.5,162.0,1245.0,60.0,C,66.1162,-152.7526,4,FWS,AK,,,,6
210524,210525,332262,1993,1993-06-05,156,1524.0,1,Lightning,2449157.5,170.0,1900.0,1030.0,F,65.6663,-145.2691,1,BLM,AK,,,,6
210525,210526,332266,1993,1993-06-05,156,1555.0,1,Lightning,2449150.5,163.0,1800.0,895.0,E,63.7996,-145.1856,6,OTHER FEDERAL,AK,,,,6
210526,210527,332264,1993,1993-06-05,156,1555.0,1,Lightning,2449146.5,159.0,2000.0,4.5,B,63.7663,-145.1523,6,OTHER FEDERAL,AK,,,,6
210527,210528,332265,1993,1993-06-05,156,1601.0,1,Lightning,2449152.5,165.0,2000.0,300.0,E,63.7996,-145.119,6,OTHER FEDERAL,AK,,,,6
210528,210529,331267,1993,1993-06-05,156,1628.0,1,Lightning,2449155.5,168.0,1626.0,970.0,E,67.1995,-151.7194,7,STATE,AK,,,,6
210529,210530,CEM W 35,1993,1993-06-05,156,1653.0,1,Lightning,2449151.5,164.0,2000.0,0.1,A,65.6163,-146.1025,1,BLM,AK,,,,6
210530,210531,UNK NW 40,1993,1993-06-05,156,1702.0,1,Lightning,2449143.5,156.0,2230.0,1.0,B,64.4993,-161.2692,1,BLM,AK,,,,6
210531,210532,TAL NW 34,1993,1993-06-05,156,1723.0,1,Lightning,2449146.5,159.0,1515.0,5.0,B,65.5495,-153.0026,1,BLM,AK,,,,6
210532,210533,FBK N 40,1993,1993-06-05,156,1724.0,1,Lightning,2449151.5,164.0,2050.0,0.5,B,65.3496,-146.8358,1,BLM,AK,,,,6
210533,210534,331274,1993,1993-06-05,156,1835.0,1,Lightning,2449145.5,158.0,1800.0,0.3,B,64.9661,-151.8858,7,STATE,AK,,,,6
210534,210535,BTT SW 45,1993,1993-06-05,156,1837.0,1,Lightning,2449144.5,157.0,200.0,6.0,B,66.3995,-152.886,1,BLM,AK,,,,6
210535,210536,HUS SW 12,1993,1993-06-05,156,1838.0,1,Lightning,2449146.5,159.0,1200.0,70.0,C,65.9161,-154.6526,1,BLM,AK,,,,6
210536,210537,UNK ENE 32,1993,1993-06-05,156,2005.0,1,Lightning,2449154.5,167.0,2300.0,60.0,C,64.0993,-159.4691,1,BLM,AK,,,,6
