,STAT_CAUSE_DESCR
211049,Debris Burning
211050,Equipment Use
211051,Debris Burning
211052,Campfire
211053,Debris Burning
211054,Campfire
211055,Campfire
211056,Children
211057,Debris Burning
211058,Debris Burning
211059,Lightning
211060,Lightning
211061,Lightning
211062,Lightning
211063,Lightning
211064,Arson
211065,Campfire
211066,Fireworks
211067,Smoking
211068,Debris Burning
211069,Structure
211070,Debris Burning
211071,Campfire
211072,Structure
211073,Equipment Use
211074,Equipment Use
211075,Arson
211076,Campfire
211077,Debris Burning
211078,Arson
211079,Debris Burning
211080,Lightning
211081,Lightning
211082,Lightning
211083,Lightning
211084,Lightning
211085,Debris Burning
211086,Lightning
211087,Arson
211088,Lightning
211089,Lightning
211090,Lightning
211091,Lightning
211092,Lightning
211093,Lightning
211094,Lightning
211095,Lightning
211096,Lightning
211097,Lightning
211098,Lightning
211099,Lightning
211100,Lightning
211101,Lightning
211102,Lightning
211103,Lightning
211104,Lightning
211105,Lightning
211106,Lightning
211107,Lightning
211108,Lightning
211109,Lightning
211110,Lightning
211111,Lightning
211112,Lightning
211113,Lightning
211114,Lightning
211115,Lightning
211116,Lightning
211117,Lightning
211118,Lightning
211119,Lightning
211120,Lightning
211121,Lightning
211122,Lightning
211123,Lightning
211124,Lightning
211125,Lightning
211126,Lightning
211127,Lightning
211128,Lightning
211129,Lightning
211130,Lightning
211131,Lightning
211132,Lightning
211133,Lightning
211134,Lightning
211135,Lightning
211136,Lightning
211137,Lightning
211138,Lightning
211139,Lightning
211140,Lightning
211141,Lightning
211142,Lightning
211143,Lightning
211144,Lightning
211145,Lightning
211146,Campfire
211147,Lightning
211148,Lightning
211149,Lightning
211150,Lightning
211151,Lightning
211152,Lightning
211153,Lightning
211154,Lightning
211155,Lightning
211156,Lightning
211157,Smoking
211158,Lightning
211159,Structure
211160,Lightning
211161,Lightning
211162,Lightning
211163,Lightning
211164,Lightning
211165,Structure
211166,Lightning
211167,Lightning
211168,Lightning
211169,Lightning
211170,Lightning
211171,Lightning
211172,Lightning
211173,Smoking
211174,Campfire
211175,Lightning
211176,Lightning
211177,Campfire
211178,Lightning
211179,Lightning
211180,Lightning
211181,Lightning
211182,Campfire
211183,Campfire
211184,Lightning
211185,Equipment Use
211186,Equipment Use
211187,Campfire
211188,Powerline
211189,Lightning
211190,Smoking
211191,Campfire
211192,Arson
211193,Lightning
211194,Lightning
211195,Campfire
211196,Campfire
211197,Campfire
211198,Campfire
211199,Campfire
211200,Campfire
211201,Smoking
211202,Debris Burning
211203,Campfire
211204,Campfire
211205,Campfire
211206,Campfire
211207,Campfire
211208,Campfire
211209,Miscellaneous
211210,Miscellaneous
211211,Arson
211212,Arson
211213,Campfire
211214,Equipment Use
211215,Campfire
211216,Arson
211217,Campfire
211218,Campfire
211219,Campfire
211220,Campfire
211221,Debris Burning
211222,Campfire
211223,Debris Burning
211224,Arson
211225,Debris Burning
211226,Campfire
211227,Lightning
211228,Campfire
211229,Campfire
211230,Campfire
211231,Lightning
211232,Arson
211233,Arson
211234,Lightning
211235,Lightning
211236,Lightning
211237,Lightning
211238,Lightning
211239,Debris Burning
211240,Lightning
211241,Lightning
211242,Lightning
211243,Campfire
211244,Lightning
211245,Lightning
211246,Lightning
211247,Lightning
211248,Lightning
211249,Lightning
211250,Lightning
211251,Lightning
211252,Lightning
211253,Lightning
211254,Lightning
211255,Lightning
211256,Lightning
211257,Lightning
211258,Lightning
211259,Lightning
211260,Lightning
211261,Lightning
211262,Lightning
211263,Lightning
211264,Miscellaneous
211265,Campfire
211266,Lightning
211267,Lightning
211268,Miscellaneous
211269,Lightning
211270,Miscellaneous
211271,Miscellaneous
211272,Lightning
211273,Lightning
211274,Lightning
211275,Lightning
211276,Lightning
211277,Lightning
211278,Lightning
211279,Lightning
211280,Lightning
211281,Lightning
211282,Lightning
211283,Lightning
211284,Lightning
211285,Lightning
211286,Lightning
211287,Lightning
